Date,Number
10/11/2024,7
10/8/2024,8
10/4/2024,9
10/1/2024,2
9/27/2024,3
9/24/2024,6
9/20/2024,9
9/17/2024,8
9/13/2024,2
9/10/2024,8
9/6/2024,1
9/3/2024,8
8/30/2024,4
8/27/2024,2
8/23/2024,1
8/20/2024,3
8/16/2024,6
8/13/2024,10
8/9/2024,5
8/6/2024,4
8/2/2024,10
7/30/2024,7
7/26/2024,6
7/23/2024,7
7/19/2024,5
7/16/2024,2
7/12/2024,5
7/9/2024,9
7/5/2024,1
7/2/2024,9
6/28/2024,6
6/25/2024,7
6/21/2024,7
6/18/2024,10
6/14/2024,6
6/11/2024,1
6/7/2024,9
6/4/2024,3
5/31/2024,1
5/28/2024,10
5/24/2024,7
5/21/2024,10
5/17/2024,7
5/14/2024,10
5/10/2024,10
5/7/2024,1
5/3/2024,3
4/30/2024,8
4/26/2024,9
4/23/2024,9
4/19/2024,8
4/16/2024,5
4/12/2024,5
4/9/2024,8
4/5/2024,5
4/2/2024,5
3/26/2024,2
3/22/2024,5
3/19/2024,7
3/15/2024,2
3/12/2024,2
3/8/2024,10
3/5/2024,9
3/1/2024,8
2/27/2024,6
2/23/2024,1
2/20/2024,7
2/16/2024,6
2/13/2024,3
2/9/2024,3
2/6/2024,8
2/2/2024,2
1/30/2024,5
1/26/2024,8
1/23/2024,7
1/19/2024,7
1/16/2024,4
1/12/2024,3
1/9/2024,7
1/5/2024,10
1/2/2024,8
12/29/2023,8
12/26/2023,3
12/22/2023,1
12/19/2023,10
12/15/2023,7
12/12/2023,2
12/8/2023,3
12/5/2023,6
12/1/2023,7
11/28/2023,1
11/24/2023,2
11/21/2023,1
11/17/2023,6
11/14/2023,3
11/10/2023,2
11/7/2023,7
11/3/2023,1
10/31/2023,4
10/27/2023,9
10/24/2023,4
10/20/2023,9
10/17/2023,5
10/13/2023,1
10/10/2023,9
10/6/2023,2
10/3/2023,10
9/29/2023,8
9/26/2023,6
9/22/2023,7
9/19/2023,9
9/15/2023,3
9/12/2023,8
9/8/2023,7
9/5/2023,1
9/1/2023,8
8/29/2023,3
8/25/2023,6
8/22/2023,3
8/18/2023,9
8/15/2023,1
8/11/2023,3
8/8/2023,1
8/4/2023,3
8/1/2023,8
7/28/2023,1
7/25/2023,1
7/21/2023,3
7/18/2023,2
7/14/2023,4
7/11/2023,1
7/7/2023,9
7/4/2023,3
6/30/2023,2
6/27/2023,7
6/23/2023,3
6/20/2023,6
6/16/2023,6
6/13/2023,3
6/9/2023,8
6/6/2023,10
6/2/2023,10
5/30/2023,5
5/26/2023,9
5/23/2023,10
5/19/2023,2
5/16/2023,6
5/12/2023,10
5/9/2023,4
5/5/2023,8
5/2/2023,2
4/28/2023,9
4/25/2023,9
4/21/2023,1
4/18/2023,7
4/14/2023,7
4/11/2023,1
4/4/2023,8
3/31/2023,9
3/28/2023,4
3/24/2023,4
3/21/2023,5
3/17/2023,2
3/14/2023,8
3/10/2023,4
3/7/2023,10
3/3/2023,1
2/28/2023,9
2/24/2023,2
2/21/2023,5
2/17/2023,6
2/14/2023,10
2/10/2023,6
2/7/2023,3
2/3/2023,7
1/31/2023,5
1/27/2023,3
1/24/2023,7
1/20/2023,2
1/17/2023,10
1/13/2023,10
1/10/2023,3
1/6/2023,2
1/3/2023,5
12/30/2022,8
12/27/2022,2
12/23/2022,8
12/20/2022,7
12/16/2022,9
12/13/2022,8
12/9/2022,2
12/6/2022,9
12/2/2022,8
11/29/2022,7
11/25/2022,6
11/22/2022,7
11/18/2022,1
11/15/2022,10
11/11/2022,7
11/8/2022,2
11/4/2022,2
11/1/2022,7
10/28/2022,2
10/25/2022,6
10/21/2022,2
10/18/2022,2
10/14/2022,2
10/11/2022,6
10/7/2022,2
10/4/2022,6
9/30/2022,1
9/27/2022,1
9/23/2022,9
9/20/2022,9
9/16/2022,4
9/13/2022,2
9/9/2022,2
9/6/2022,7
9/2/2022,8
8/30/2022,9
8/26/2022,10
8/23/2022,6
8/19/2022,9
8/16/2022,1
8/12/2022,8
8/9/2022,1
8/5/2022,1
8/2/2022,6
7/29/2022,8
7/26/2022,5
7/22/2022,3
7/19/2022,7
7/15/2022,7
7/12/2022,6
7/8/2022,3
7/5/2022,6
7/1/2022,2
6/28/2022,9
6/24/2022,5
6/21/2022,1
6/17/2022,4
6/14/2022,9
6/10/2022,10
6/7/2022,2
6/3/2022,3
5/31/2022,2
5/27/2022,9
5/24/2022,6
5/20/2022,9
5/17/2022,6
5/13/2022,10
5/10/2022,2
5/6/2022,7
5/3/2022,9
4/29/2022,3
4/26/2022,5
4/22/2022,5
4/19/2022,5
4/12/2022,9
4/8/2022,7
4/5/2022,5
4/1/2022,7
3/29/2022,10
3/25/2022,4
3/22/2022,6
3/18/2022,8
3/15/2022,8
3/11/2022,9
3/8/2022,2
3/4/2022,6
3/1/2022,9
2/25/2022,4
2/22/2022,10
2/18/2022,6
2/15/2022,8
2/11/2022,4
2/8/2022,5
2/4/2022,4
2/1/2022,4
1/28/2022,8
1/25/2022,5
1/21/2022,3
1/18/2022,4
1/14/2022,1
1/11/2022,8
1/7/2022,5
1/4/2022,3
12/31/2021,6
12/28/2021,9
12/24/2021,3
12/21/2021,5
12/17/2021,2
12/14/2021,8
12/10/2021,4
12/7/2021,1
12/3/2021,8
11/30/2021,7
11/26/2021,4
11/23/2021,4
11/19/2021,6
11/16/2021,4
11/12/2021,5
11/9/2021,4
11/5/2021,9
11/2/2021,6
10/29/2021,7
10/26/2021,2
10/22/2021,3
10/19/2021,10
10/15/2021,8
10/12/2021,3
10/8/2021,8
10/5/2021,5
10/1/2021,10
9/28/2021,5
9/24/2021,9
9/21/2021,10
9/17/2021,6
9/14/2021,8
9/10/2021,10
9/7/2021,6
9/3/2021,5
8/31/2021,8
8/27/2021,8
8/24/2021,6
8/20/2021,3
8/17/2021,2
8/13/2021,2
8/10/2021,4
8/6/2021,1
8/3/2021,4
7/30/2021,1
7/27/2021,7
7/23/2021,10
7/20/2021,5
7/16/2021,7
7/13/2021,1
7/9/2021,6
7/6/2021,2
7/2/2021,5
6/29/2021,9
6/25/2021,10
6/22/2021,2
6/18/2021,5
6/15/2021,7
6/11/2021,10
6/8/2021,9
6/4/2021,7
6/1/2021,8
5/28/2021,3
5/25/2021,3
5/21/2021,6
5/18/2021,5
5/14/2021,4
5/11/2021,3
5/7/2021,5
5/4/2021,4
4/30/2021,8
4/27/2021,4
4/23/2021,2
4/20/2021,2
4/16/2021,5
4/13/2021,3
4/9/2021,8
4/6/2021,4
3/30/2021,7
3/26/2021,4
3/23/2021,3
3/19/2021,10
3/16/2021,1
3/12/2021,3
3/9/2021,7
3/5/2021,7
3/2/2021,1
2/26/2021,4
2/23/2021,5
2/19/2021,1
2/16/2021,4
2/12/2021,10
2/9/2021,5
2/5/2021,3
2/2/2021,8
1/29/2021,1
1/26/2021,1
1/22/2021,6
1/19/2021,4
1/15/2021,9
1/12/2021,9
1/8/2021,9
1/5/2021,10
12/29/2020,5
12/22/2020,6
12/18/2020,9
12/15/2020,1
12/11/2020,2
12/8/2020,5
12/4/2020,6
12/1/2020,5
11/27/2020,3
11/24/2020,5
11/20/2020,9
11/17/2020,8
11/13/2020,7
11/10/2020,7
11/6/2020,2
11/3/2020,8
10/30/2020,9
10/27/2020,9
10/23/2020,8
10/20/2020,8
10/16/2020,10
10/13/2020,6
10/9/2020,5
10/6/2020,6
10/2/2020,9
9/29/2020,10
9/25/2020,8
9/22/2020,1
9/18/2020,9
9/15/2020,3
9/11/2020,5
9/8/2020,5
9/4/2020,5
9/1/2020,2
8/28/2020,7
8/25/2020,4
8/21/2020,4
8/18/2020,3
8/14/2020,1
8/11/2020,7
8/7/2020,6
8/4/2020,6
7/31/2020,5
7/28/2020,8
7/24/2020,6
7/21/2020,3
7/17/2020,4
7/14/2020,6
7/10/2020,10
7/7/2020,3
7/3/2020,10
6/30/2020,8
6/26/2020,1
6/23/2020,3
6/19/2020,3
6/16/2020,3
6/12/2020,2
6/9/2020,6
6/5/2020,7
6/2/2020,10
5/29/2020,1
5/26/2020,3
5/22/2020,2
5/19/2020,5
5/15/2020,7
5/12/2020,9
5/8/2020,2
5/5/2020,4
5/1/2020,3
4/28/2020,7
4/24/2020,4
4/21/2020,8
4/17/2020,7
4/14/2020,2
4/7/2020,10
4/3/2020,5
3/31/2020,3
3/27/2020,9
3/24/2020,7
3/20/2020,4
3/17/2020,3
3/13/2020,6
3/10/2020,5
3/6/2020,7
3/3/2020,7
2/28/2020,7
2/25/2020,1
2/21/2020,2
2/18/2020,9
2/14/2020,8
2/11/2020,2
2/7/2020,5
2/4/2020,5
1/31/2020,7
1/28/2020,10
1/24/2020,8
1/21/2020,2
1/17/2020,4
1/14/2020,9
1/10/2020,4
1/7/2020,3
1/3/2020,8
12/31/2019,4
12/27/2019,6
12/24/2019,10
12/20/2019,5
12/17/2019,8
12/13/2019,10
12/10/2019,6
12/6/2019,2
12/3/2019,6
11/29/2019,10
11/26/2019,8
11/22/2019,1
11/19/2019,7
11/15/2019,4
11/12/2019,9
11/8/2019,7
11/5/2019,6
11/1/2019,3
10/29/2019,7
10/25/2019,9
10/22/2019,8
10/18/2019,7
10/15/2019,4
10/11/2019,10
10/8/2019,7
10/4/2019,5
10/1/2019,4
9/27/2019,2
9/24/2019,2
9/20/2019,1
9/17/2019,3
9/13/2019,4
9/10/2019,9
9/6/2019,4
9/3/2019,2
8/30/2019,6
8/27/2019,10
8/23/2019,3
8/20/2019,6
8/16/2019,10
8/13/2019,9
8/9/2019,10
8/6/2019,3
8/2/2019,6
7/30/2019,9
7/26/2019,3
7/23/2019,8
7/19/2019,1
7/16/2019,8
7/12/2019,8
7/9/2019,7
7/5/2019,8
7/2/2019,1
6/28/2019,8
6/25/2019,7
6/21/2019,10
6/18/2019,8
6/14/2019,4
6/11/2019,8
6/7/2019,1
6/4/2019,7
5/31/2019,9
5/28/2019,1
5/24/2019,4
5/21/2019,5
5/17/2019,5
5/14/2019,10
